0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
591.7804,305.12006,0.93462056,588.80884,287.89355,0.9364766,577.60046,287.5326,1.001613,532.1112,303.8506,0.7309083,525.59033,306.2461,0.99207306,526.3032,385.76862,0.7640878,517.2047,386.00983,0.91478014,634.8032,389.4981,0.83323073,665.56335,382.98682,0.85746646,685.6234,293.02026,0.9668173,722.88586,311.1239,0.678041,489.6777,665.2537,0.7964527,462.1508,665.94867,0.8387471,547.05786,836.75116,0.9238095,522.2106,851.2055,0.9031663,512.1648,995.91644,0.9146868,448.68527,1036.9404,0.9147564
596.5262,308.0816,0.9691535,594.69916,290.72888,0.98001087,581.325,289.9798,0.9820365,541.5862,303.41644,0.71475846,528.44293,306.13434,0.9947074,533.0176,389.61792,0.73288333,518.7134,384.36548,0.9260931,642.663,388.6518,0.82403684,672.5229,390.1114,0.85141605,699.77826,303.44226,0.882097,718.455,317.9182,0.64923304,490.46454,665.50653,0.78458333,460.6529,663.58636,0.84071994,543.8001,840.65717,0.85229343,522.0207,852.33344,0.9092448,514.1124,995.0151,0.9655588,464.88263,1048.6711,0.9560703
601.5226,311.74487,0.99685633,597.26,293.66943,0.930418,584.0663,294.91278,0.99563193,531.0759,308.32062,0.7270888,530.41345,310.23145,1.0003179,502.21817,384.7328,0.7837335,529.2825,388.64587,0.90145385,636.4365,400.25342,0.63892984,690.52295,401.2975,0.86345875,703.57336,340.61615,0.4656679,723.2921,358.83472,0.36467502,466.14633,661.495,0.70448244,456.6674,665.15393,0.8529469,535.6444,843.94495,0.8180187,520.01465,860.0343,0.9399032,513.46594,999.9923,0.9532685,481.525,1058.9735,0.94767857
606.43933,320.2942,0.96451986,603.53796,302.41205,0.94685227,592.02405,302.38312,0.9705409,540.6981,317.33722,0.7227536,537.71313,317.40045,1.0199656,520.5796,399.42694,0.6887225,528.0237,394.04327,0.918034,631.8323,466.20844,0.7076425,685.29663,423.31866,0.8616661,708.14856,451.08527,0.6721864,717.3224,415.68903,0.40493613,467.0654,667.858,0.7304776,446.8112,668.3597,0.8714479,528.155,853.32623,0.87006617,518.8069,863.1429,0.9247645,517.8502,1012.21564,0.9533636,491.6102,1064.0188,0.98702854
614.3555,327.92963,0.97629523,610.54926,309.78125,0.95457757,598.3802,308.88568,0.9828574,544.7232,324.76678,0.7064517,546.0052,324.27405,1.0115287,512.1197,400.76593,0.74078584,532.2323,404.5136,0.9461733,644.3477,469.62585,0.5594777,683.4925,472.37897,0.9084299,638.1319,427.23456,0.5179412,706.52545,462.73273,0.44870013,452.08722,664.5229,0.68726647,442.04938,667.4454,0.8463231,519.1319,851.9932,0.8172817,520.59235,862.8431,0.9134952,524.5734,1012.01666,0.8901937,497.1203,1065.4114,0.9566194
620.1532,348.7376,0.98785865,618.4324,331.2447,0.9544396,606.7445,329.0061,0.9938764,550.7976,339.41302,0.728863,553.963,339.12946,0.98518044,506.4371,415.40002,0.7764385,539.86426,422.765,0.9266439,638.0891,503.661,0.52950644,651.584,521.39905,0.8378593,697.2179,533.20447,0.48548427,724.9386,564.89233,0.688812,433.96976,671.906,0.66503406,441.65634,676.45044,0.85193115,504.81516,858.885,0.8490566,523.2185,870.2909,0.91829306,521.0796,1009.7529,0.8380354,496.05167,1065.4254,0.95225954
630.0672,372.40967,1.0075792,626.29675,354.18488,0.90779793,616.84973,354.54352,0.9721153,555.9801,362.41095,0.75859225,566.51685,365.3723,0.99263394,514.16943,429.64996,0.7623781,545.3515,448.33606,0.9061636,600.8872,558.6291,0.44381815,612.7894,577.5699,0.85369396,668.93933,650.80316,0.30272663,700.75073,682.25824,0.81407857,442.85083,680.10175,0.68405426,433.9961,686.3001,0.84838015,522.37805,845.01373,0.7847713,522.8131,874.62335,0.90536344,517.85803,1002.585,0.8354792,491.91974,1064.4407,0.95485616
648.18915,406.24448,0.95235324,646.32697,383.67618,0.90155435,635.57367,383.65433,0.9614159,576.9005,392.991,0.6955919,582.3673,395.40872,1.011876,524.9095,444.3967,0.7799735,560.86053,484.85757,0.90027094,514.9018,618.145,0.25012013,544.4532,655.8882,0.87227476,538.7963,751.53894,0.31222022,562.34296,773.2599,0.8119699,416.982,688.76917,0.64457357,434.7243,705.7294,0.8091568,507.4168,860.4386,0.78897595,535.8061,878.2228,0.8918154,503.7719,1008.80774,0.8138554,489.91913,1061.5404,0.9686203
659.76245,443.40903,0.9621825,656.3071,422.11105,0.9571353,646.5017,424.39816,0.9728029,591.2451,431.73862,0.6767127,598.87805,437.18295,1.0048702,542.4453,471.30576,0.7271131,563.7611,532.01514,0.9087751,608.29785,530.6648,0.33353564,484.4656,671.475,0.90316933,627.93225,496.4642,0.5326064,438.41074,798.5137,0.88188374,426.1121,708.54333,0.5351187,431.7628,740.09827,0.75908566,556.4075,830.609,0.82169163,553.08044,887.35986,0.9182433,494.3403,996.20447,0.8978513,490.0914,1063.25,0.961373
672.2137,491.7326,0.9933129,666.9429,473.25763,0.8702788,659.3027,474.8191,0.96361625,603.9334,482.04205,0.63193035,613.12115,487.61664,1.0176271,543.4196,530.5449,0.7072668,563.47986,578.1472,0.8777398,431.66766,620.55475,0.76064754,444.44318,663.5474,0.8415176,347.05072,697.8199,0.7385249,344.68353,745.1834,0.9002884,463.0155,748.9368,0.5928331,439.85834,770.5784,0.781755,571.3433,844.2972,0.89981574,570.33746,904.2592,0.8633924,496.1541,1001.332,0.8860229,491.78693,1063.2808,0.94490814
674.8289,548.2295,0.96867734,673.9953,529.11096,0.8821603,666.5041,528.7466,0.93360734,607.6435,529.4385,0.7237653,621.8193,535.5071,0.98420346,553.5719,581.6439,0.73389554,561.33356,612.0017,0.8692095,418.89557,620.1301,0.735508,428.24957,652.8712,0.8567403,300.18274,650.2241,0.7962075,290.04907,682.85767,0.8818165,466.1773,784.9214,0.62628317,434.69238,805.7125,0.7805679,583.3591,852.2849,0.9021626,584.8255,921.5851,0.886566,495.58533,1005.40137,0.88731706,493.97076,1068.448,0.94908774
667.5447,596.32135,0.9785614,667.67224,577.728,0.88920045,660.60394,578.02057,0.95672226,602.4856,570.48883,0.62837243,616.2979,579.82135,0.9557239,534.1932,607.5993,0.7230726,560.1493,643.93304,0.88569355,418.976,629.24786,0.70903087,423.74945,644.67645,0.84860325,297.06836,632.71515,0.79985607,293.33862,645.18304,0.8501658,463.54242,815.4759,0.5430711,431.31293,840.93866,0.7552681,590.8328,860.9764,1.020274,600.10236,932.30743,0.9193157,493.02277,1010.8316,0.868093,495.0816,1072.4558,0.93388236
662.7073,617.63354,1.000321,660.78253,600.7093,0.9159672,653.4745,601.51953,0.9786322,597.1024,604.0189,0.6691771,605.83124,610.7577,0.9546473,532.3239,630.6863,0.61954033,555.9363,672.0393,0.8535583,411.71332,627.6561,0.79841995,416.88794,663.9518,0.79864824,285.40344,623.6336,0.92122126,283.67084,660.1958,0.89208734,459.88306,835.187,0.57966065,431.01862,865.1692,0.77107275,596.8595,866.68164,0.89899474,608.04614,936.7993,0.95176363,491.70374,1011.6697,0.8728654,496.5927,1072.2627,0.9083977
657.0409,624.9359,0.9659885,653.1256,608.5928,0.9106382,646.47437,609.7716,0.9771534,592.6339,617.84985,0.6606369,599.96375,623.8717,0.99101585,522.037,642.1416,0.7234851,551.0581,686.5408,0.90960324,404.28128,653.4271,0.8142786,416.40268,708.202,0.8555818,287.3176,642.6738,0.830958,275.39578,704.4994,0.9137244,449.282,844.80554,0.5303649,432.0862,879.02026,0.7347703,596.27686,871.5875,0.91815674,610.44995,943.4169,0.9254633,491.45297,1016.17664,0.8983085,493.29294,1075.1652,0.96017146
644.80786,614.0563,0.96124685,641.76807,598.12115,0.9276539,633.1775,599.8405,0.9706739,581.4535,606.774,0.65340006,587.47144,611.6801,0.9608433,517.8711,647.63837,0.7293366,537.31445,689.0684,0.91185534,392.4241,682.7209,0.83948976,413.48294,759.7559,0.8112584,280.90475,703.9914,0.830802,283.0934,808.12885,0.9043751,460.7908,845.68365,0.59554696,435.11703,879.467,0.7389298,600.26,874.27496,0.9551776,611.8696,941.64435,0.95693445,492.46744,1015.86444,0.9022339,495.835,1073.9302,0.9399628
622.13354,589.99274,0.9223315,618.4807,574.81305,0.91138005,609.73425,575.6669,0.93378747,558.9061,582.45483,0.67268455,565.5403,586.1565,0.9798501,505.66232,633.63837,0.7821504,520.0386,681.5083,0.87653613,398.93118,713.2754,0.8562361,434.13986,812.4016,0.82291585,308.88266,775.8894,0.8924943,354.35208,922.08484,0.85360706,475.6559,835.10486,0.5229058,450.2524,869.23865,0.7289554,601.02527,870.2853,0.9780729,611.8556,935.19836,0.9170971,496.11343,1015.32043,0.8470297,495.49088,1073.0199,0.9238579
581.9228,555.63403,0.9561511,579.718,539.801,0.9182701,569.35266,539.7195,0.9462123,524.7954,550.8225,0.71880305,527.28894,553.31995,0.9660051,487.21655,619.07214,0.720549,496.6444,660.56287,0.89480156,492.8097,793.21387,0.5172334,488.3423,831.0874,0.86543137,541.4745,840.5576,0.17622909,523.19666,962.60986,0.86818165,438.05933,822.8801,0.6061715,417.8485,855.82837,0.78728515,599.43396,867.43677,0.91797566,609.33545,928.13184,0.88969254,499.25195,1013.32263,0.8729665,496.5564,1074.3359,0.95191276
553.0326,521.1649,0.951934,548.1205,505.70413,0.8769475,536.25244,505.81778,0.92450875,484.22934,523.4407,0.6919774,485.3342,525.2416,0.98796755,451.74545,600.4071,0.71005106,468.49423,633.167,0.85632414,524.15234,738.84656,0.48268422,558.15796,758.40247,0.85353804,629.5298,810.14514,0.2576886,652.50085,826.66846,0.71231335,466.87704,816.6239,0.6679451,422.19125,841.49805,0.7831341,591.7567,864.75037,0.8053773,593.8268,921.6625,0.9271785,498.54477,1011.56494,0.8773812,496.20883,1071.7638,0.94632065
511.40704,492.0954,0.9375237,504.8233,478.0675,0.8752881,494.36218,481.9696,0.9333786,439.1134,504.4234,0.64721376,443.37976,506.07263,0.97220325,433.78186,575.6341,0.6408086,446.2232,603.63605,0.83154964,558.73096,634.7161,0.5084418,579.70105,640.50946,0.7230203,671.9256,618.6265,0.4931575,688.19104,623.91266,0.638335,464.0517,798.84845,0.7074988,416.8844,828.46246,0.8242167,576.8811,855.52386,0.82577777,583.3229,918.9578,0.85946274,501.17517,1008.1473,0.89334744,498.39868,1071.7712,0.96003973
484.223,465.67648,0.94417226,476.42117,451.14737,0.906813,467.72482,454.61655,0.96212983,416.5524,473.0651,0.7274853,418.93375,478.51382,0.98138857,416.23856,532.4795,0.7927564,425.74026,551.822,0.8469696,526.00696,505.54086,0.82558566,553.2256,529.4524,0.8115591,612.9651,444.23514,0.92292404,637.2921,458.2169,0.79829776,446.93033,781.8285,0.78289497,414.36484,809.4573,0.8411371,565.01514,847.30725,0.9039284,579.37805,915.23914,0.89510596,508.64474,1006.60706,0.85833526,502.27414,1072.8274,0.98715305
449.2694,415.65717,1.0010158,438.94702,402.214,0.9202853,432.98175,405.75104,0.9663533,376.45618,435.45715,0.68767226,406.77466,427.95343,0.9059218,392.1126,508.46985,0.7105829,397.73224,512.6853,0.9285887,496.10046,441.27203,0.25084296,505.91986,400.2243,0.7533703,478.49066,500.2843,0.37836137,525.358,229.9303,0.62231994,443.87225,758.9717,0.7314397,416.65326,782.4053,0.84776366,556.7271,833.50305,0.88567585,572.5545,905.53235,0.9934963,515.7642,1004.93933,0.7732743,510.14948,1071.9529,0.90783376
411.14917,364.2837,0.8975321,402.09216,351.87732,0.8327911,393.5824,355.78693,0.9574829,336.51385,394.97406,0.7781757,371.5263,381.8236,0.9704823,379.22247,464.52722,0.7235906,381.42188,455.2295,0.8705987,304.9154,466.15906,0.3438258,437.25134,279.42377,0.86223406,313.875,467.13092,0.4159669,376.4934,175.50739,0.8373232,450.026,725.8395,0.7036873,434.01282,733.3507,0.8700943,540.84814,882.46375,0.76018,557.8354,896.00037,0.85991603,519.68164,1015.5941,0.8064989,516.4979,1066.4628,0.99328387
262.59543,391.97162,0.8124,260.88284,369.01105,0.91318357,268.29678,364.09467,0.73122525,289.40408,364.1214,0.8872203,316.4514,346.24457,0.8207388,358.70352,417.1972,0.7441027,356.9998,415.77936,0.73192453,336.84018,245.57074,0.6211065,342.29483,235.15656,0.7892728,293.9733,176.28473,0.6682291,275.20676,171.32819,0.8166983,467.72928,663.5068,0.75649434,457.14395,670.1678,0.8334652,528.38794,854.36676,0.7598304,535.5608,864.18243,0.8720952,545.0995,1011.78925,0.7689202,535.03687,1049.9924,0.9316741
