1+,0,78,
106_mirrored.mp4,720,1280,54
109.mp4,886,1920,53
118.mp4,886,1920,60
121_mirrored.mp4,886,1920,48
123.mp4,886,1920,48
127.mp4,886,1920,52
129.mp4,886,1920,42
129_mirrored.mp4,886,1920,42
130_mirrored.mp4,886,1920,44
139-right.mov,1080,1920,57
14-right.mp4,1280,720,32
158-right_mirrored.mov,1080,1920,55
165-left.mov,1080,1920,49
165-left_mirrored.mov,1080,1920,49
170-right_mirrored.mov,1920,1080,50
172-right_mirrored.mov,1080,1920,55
174-left.mov,1920,1080,42
179-left.mov,1080,1920,45
18-right.mp4,1920,1080,52
182-left_mirrored.mov,1080,1920,58
183-left.mov,1080,1920,55
187-right_mirrored.mov,1920,1080,50
188-right.mov,1920,1080,57
211-left_mirrored.mov,1920,1080,48
228-left_mirrored.mov,1920,1080,45
23-left_mirrored.mp4,720,1280,52
232-right.mov,1080,1920,52
233-right.mov,1080,1920,58
234-right.mov,1080,1920,47
239-right.mov,1080,1920,53
254-right.mov,1080,1920,44
254-right_mirrored.mov,1080,1920,44
256-right_mirrored.mov,1080,1920,51
259-right_mirrored.mov,1080,1920,48
261-left.mov,1080,1920,44
262-right.mov,1080,1920,62
262-right_mirrored.mov,1080,1920,62
265-right_mirrored.mov,1080,1920,46
266-right.mov,1080,1920,45
268-right_mirrored.mov,1080,1920,51
269-right_mirrored.mov,1080,1920,53
274-right.mov,1080,1920,46
274-right_mirrored.mov,1080,1920,46
275-right.mov,1080,1920,44
277-right_mirrored.mov,1080,1920,44
278-right_mirrored.mov,1080,1920,53
281-left_mirrored.mov,1080,1920,48
283-right_mirrored.mov,1080,1920,44
286-right.mov,1080,1920,48
29-left.mp4,886,1920,50
290-left.mov,1080,1920,51
294-right.mov,1080,1920,39
297-right.mov,1080,1920,46
300-right.mov,1080,1920,48
301-left.mov,1080,1920,51
302-right.mov,1080,1920,47
309-right.mov,1080,1920,41
311-left.mov,1080,1920,47
41-right_mirrored.mp4,886,1920,48
42-right.mp4,886,1920,46
47-right.mp4,1080,1720,53
48-left.mp4,1920,1080,49
48-left_mirrored.mp4,1920,1080,49
49-right.mov,896,1080,50
53-right.mp4,1920,1080,47
58-right_mirrored.mp4,1920,1080,54
62-right_mirrored.mp4,1920,1080,55
64-right_mirrored.mp4,1920,1080,51
65-right_mirrored.mp4,1920,1080,56
66-right.mp4,1920,1080,49
7-left_mirrored.mp4,1920,1080,50
70-right.mp4,1920,1080,37
75-right.mp4,1920,1080,46
77-right_mirrored.mp4,1920,1080,31
87-left_mirrored.mov,960,982,43
95-right_mirrored.mp4,886,1920,50
97-left_mirrored.mov,886,1920,55
99-left.mov,886,1920,43
1-,1,78,
143-right.mov,1080,1920,63
144-right.mov,1080,1920,61
144-right_mirrored.mov,1080,1920,60
145-right.mov,1080,1920,59
145-right_mirrored.mov,1080,1920,59
146-right.mov,1080,1920,60
146-right_mirrored.mov,1080,1920,60
147-right.mov,1920,1080,62
147-right_mirrored.mov,1920,1080,62
148-right.mov,1920,1080,62
148-right_mirrored.mov,1920,1080,62
149-right.mov,1920,1080,59
150-right.mov,1920,1080,39
150-right_mirrored.mov,1920,1080,39
151-right.mov,1920,1080,64
151-right_mirrored.mov,1920,1080,64
17-right.mp4,1920,1080,62
17-right_mirrored.mp4,1920,1080,62
193-left.mov,1080,1920,55
193-left_mirrored.mov,1080,1920,55
194-left.mov,1080,1920,51
195-left.mov,1920,1080,39
195-left_mirrored.mov,1920,1080,38
196-left.mov,1920,1080,53
196-left_mirrored.mov,1920,1080,53
197-left.mov,1920,1080,43
197-left_mirrored.mov,1920,1080,43
198-left.mov,1920,1080,48
198-left_mirrored.mov,1920,1080,48
199-left_mirrored.mov,1920,1080,54
20-left.mp4,1920,1080,45
20-left_mirrored.mp4,1920,1080,45
201-left.mov,1080,1920,51
202-left.mov,1080,1920,61
202-left_mirrored.mov,1080,1920,61
203-left_mirrored.mov,1080,1920,57
204-left.mov,1080,1920,66
207-right.mov,1920,1080,54
207-right_mirrored.mov,1920,1080,54
208-right.mov,1920,1080,59
208-right_mirrored.mov,1920,1080,59
209-right.mov,1920,1080,57
209-right_mirrored.mov,1920,1080,56
21-left.mp4,1920,1080,54
21-left_mirrored.mp4,1920,1080,54
210-right.mov,1920,1080,64
210-right_mirrored.mov,1920,1080,64
212-left_mirrored.mov,1920,1080,51
213-left.mov,1920,1080,54
213-left_mirrored.mov,1920,1080,55
214-left_mirrored.mov,1920,1080,58
216-left.mov,1920,1080,52
216-left_mirrored.mov,1920,1080,52
217-left_mirrored.mov,1920,1080,55
218-left.mov,1920,1080,60
218-left_mirrored.mov,1920,1080,60
219-left.mov,1920,1080,53
22-left.mp4,1920,1080,52
22-left_mirrored.mp4,1920,1080,52
229-left.mov,1920,1080,50
229-left_mirrored.mov,1920,1080,50
230-left.mov,1920,1080,57
231-left_mirrored.mov,1920,1080,55
242-right_mirrored.mov,1080,1920,56
243-right.mov,1080,1920,49
244-right.mov,1080,1920,49
244-right_mirrored.mov,1080,1920,49
246-right.mov,1080,1920,54
246-right_mirrored.mov,1080,1920,54
247-right.mov,1080,1920,54
247-right_mirrored.mov,1080,1920,54
248-right.mov,1080,1920,56
248-right_mirrored.mov,1080,1920,56
249-right.mov,1080,1920,56
249-right_mirrored.mov,1080,1920,55
250-left.mov,1080,1920,54
250-left_mirrored.mov,1080,1920,54
251-left_mirrored.mov,1080,1920,50
